date,value,增减
2025-05-06,8450,0.0
2025-05-07,13950,5500.0
2025-05-08,15950,2000.0
2025-05-09,15950,0.0
2025-05-12,15950,0.0
2025-05-13,20122,4172.0
2025-05-14,21368,1246.0
2025-05-15,21368,0.0
2025-05-16,26620,5252.0
2025-05-19,26620,0.0
2025-05-20,26620,0.0
2025-05-21,26610,-10.0
2025-05-22,26478,-132.0
2025-05-23,25640,-838.0
2025-05-26,25340,-300.0
2025-05-27,25340,0.0
2025-05-28,25252,-88.0
2025-05-29,25252,0.0
2025-05-30,24852,-400.0
2025-06-03,24472,-380.0
2025-06-04,24421,-51.0
2025-06-05,24365,-56.0
2025-06-06,24324,-41.0
2025-06-09,24237,-87.0
2025-06-10,24237,0.0
2025-06-11,24237,0.0
2025-06-12,24237,0.0
2025-06-13,24237,0.0
2025-06-16,24236,-1.0
2025-06-17,24236,0.0
2025-06-18,24233,-3.0
2025-06-19,24233,0.0
2025-06-20,24233,0.0
2025-06-23,24033,-200.0
2025-06-24,23633,-400.0
2025-06-25,23463,-170.0
2025-06-26,23174,-289.0
2025-06-27,22874,-300.0
2025-06-30,23822,948.0
2025-07-01,23322,-500.0
2025-07-02,23322,0.0
2025-07-03,22722,-600.0
2025-07-04,22643,-79.0
2025-07-07,22922,279.0
2025-07-08,22922,0.0
2025-07-09,22821,-101.0
2025-07-10,22689,-132.0
2025-07-11,21979,-710.0
2025-07-14,18899,-3080.0
2025-07-15,18439,-460.0
2025-07-16,15794,-2645.0
2025-07-17,13094,-2700.0
2025-07-18,12334,-760.0
2025-07-21,12184,-150.0
2025-07-22,12134,-50.0
2025-07-23,11334,-800.0
2025-07-24,10234,-1100.0
2025-07-25,10084,-150.0
2025-07-28,6599,-3485.0
2025-07-29,6499,-100.0
2025-07-30,2573,-3926.0
2025-07-31,0,-2573.0
2025-08-05,4450,4450.0
2025-08-06,7450,3000.0
2025-08-07,7450,0.0
2025-08-08,7450,0.0
2025-08-11,7450,0.0
2025-08-12,7450,0.0
2025-08-13,7450,0.0
2025-08-14,7450,0.0
2025-08-15,7450,0.0
2025-08-18,7450,0.0
2025-08-19,7450,0.0
2025-08-20,7450,0.0
2025-08-21,7450,0.0
2025-08-22,7450,0.0
2025-08-25,7450,0.0
2025-08-26,7450,0.0
2025-08-27,7450,0.0
2025-08-28,7450,0.0
2025-08-29,7450,0.0
2025-09-01,7450,0.0
2025-09-02,7450,0.0
2025-09-03,7450,0.0
2025-09-04,7450,0.0
2025-09-05,7450,0.0
2025-09-08,7450,0.0
2025-09-09,9406,1956.0
2025-09-10,9406,0.0
2025-09-11,9950,544.0
2025-09-12,9950,0.0
2025-09-15,9238,-712.0
2025-09-16,9217,-21.0
2025-09-17,9217,0.0
2025-09-18,8487,-730.0
2025-09-19,8330,-157.0
