date,value,增减
2025-05-06,7834,0.0
2025-05-07,7754,-80.0
2025-05-08,8380,626.0
2025-05-09,8380,0.0
2025-05-12,8380,0.0
2025-05-13,8380,0.0
2025-05-14,8380,0.0
2025-05-15,8380,0.0
2025-05-16,9635,1255.0
2025-05-19,9535,-100.0
2025-05-20,9390,-145.0
2025-05-21,9390,0.0
2025-05-22,7357,-2033.0
2025-05-23,5997,-1360.0
2025-05-26,0,-5997.0
2025-05-27,0,0.0
2025-05-28,1600,1600.0
2025-05-29,1600,0.0
2025-05-30,1600,0.0
2025-06-03,1600,0.0
2025-06-04,2600,1000.0
2025-06-05,4600,2000.0
2025-06-06,4600,0.0
2025-06-09,4600,0.0
2025-06-10,8120,3520.0
2025-06-11,9120,1000.0
2025-06-12,9120,0.0
2025-06-13,9309,189.0
2025-06-16,9759,450.0
2025-06-17,9759,0.0
2025-06-18,9759,0.0
2025-06-19,7955,-1804.0
2025-06-20,7925,-30.0
2025-06-23,7867,-58.0
2025-06-24,7867,0.0
2025-06-25,7867,0.0
2025-06-26,7867,0.0
2025-06-27,8017,150.0
2025-06-30,7885,-132.0
2025-07-01,7885,0.0
2025-07-02,7885,0.0
2025-07-03,7885,0.0
2025-07-04,8655,770.0
2025-07-07,8625,-30.0
2025-07-08,8720,95.0
2025-07-09,8720,0.0
2025-07-10,8720,0.0
2025-07-11,8690,-30.0
2025-07-14,8528,-162.0
2025-07-15,9251,723.0
2025-07-16,8931,-320.0
2025-07-17,8786,-145.0
2025-07-18,8544,-242.0
2025-07-21,10344,1800.0
2025-07-22,10344,0.0
2025-07-23,10184,-160.0
2025-07-24,10134,-50.0
2025-07-25,10134,0.0
2025-07-28,10054,-80.0
2025-07-29,9834,-220.0
2025-07-30,8834,-1000.0
2025-07-31,8716,-118.0
2025-08-01,8546,-170.0
2025-08-04,8546,0.0
2025-08-05,8546,0.0
2025-08-06,8748,202.0
2025-08-07,8688,-60.0
2025-08-08,8688,0.0
2025-08-11,10088,1400.0
2025-08-12,11168,1080.0
2025-08-13,11168,0.0
2025-08-14,11168,0.0
2025-08-15,10968,-200.0
2025-08-18,10968,0.0
2025-08-19,10766,-202.0
2025-08-20,10766,0.0
2025-08-21,10766,0.0
2025-08-22,10666,-100.0
2025-08-25,10566,-100.0
2025-08-26,10466,-100.0
2025-08-27,10366,-100.0
2025-08-28,10266,-100.0
2025-08-29,9746,-520.0
2025-09-01,9516,-230.0
2025-09-02,9516,0.0
2025-09-03,10036,520.0
2025-09-04,10036,0.0
2025-09-05,10036,0.0
2025-09-08,10036,0.0
2025-09-09,13536,3500.0
2025-09-10,14519,983.0
2025-09-11,14979,460.0
2025-09-12,16131,1152.0
2025-09-15,16131,0.0
2025-09-16,16131,0.0
2025-09-17,10781,-5350.0
2025-09-18,10207,-574.0
2025-09-19,9892,-315.0
